,median_transaction_feeUSD,hashrate,sentinusdUSD,difficulty,priceUSD
174,0.0,118550926770.0,17459.0,16307.0,0.309
175,0.0,143117296268.0,18640.0,16307.0,0.316
176,0.0,126847090767.0,12364.0,16307.0,0.32299999999999995
177,0.0,138833943125.0,26678.0,16307.0,0.325
178,0.0,131934535829.0,34068.0,16307.0,0.327
179,0.0,136446573689.0,19094.0,16307.0,0.32299999999999995
180,0.0,143864968666.0,38168.0,16307.0,0.318
181,0.0,145137835500.0,30593.0,16307.0,0.359
182,0.0,151033003360.0,22421.0,17203.0,0.393
183,0.0,156020669379.0,25484.0,18438.0,0.393
184,0.0,159407275417.0,21484.0,18438.0,0.368
185,0.0,147632233956.0,34742.0,18438.0,0.331
186,0.0,146712509464.0,18718.0,18438.0,0.313
187,0.0,158035864356.0,18331.0,18438.0,0.35100000000000003
188,0.0,173678264444.0,24690.0,18438.0,0.405
189,0.0,146384341547.0,29762.0,18438.0,0.4270000000000001
190,0.0,159649527791.0,35521.0,18438.0,0.443
191,0.0,160065450472.0,29656.0,18438.0,0.431
192,0.0,151038658572.0,22662.0,18438.0,0.415
193,0.0,167397220734.0,27199.0,18438.0,0.414
194,0.0,175729796585.0,429974.0,20538.0,0.415
195,0.0,173762979011.0,19988.0,22012.0,0.434
196,0.0,167279718015.0,29887.0,22012.0,0.442
197,0.0,178592126762.0,180538.0,22012.0,0.462
198,0.0,166987891473.0,94612.0,22012.0,0.5
199,0.0,194786526201.0,75925.0,22012.0,0.626
200,0.0,176350167149.0,81155.0,22012.0,0.713
201,0.0,170967127061.0,46402.0,22012.0,0.706
202,0.0,194529544405.0,40686.0,22012.0,0.7659999999999999
203,0.0,209372377130.0,61231.0,22012.0,0.88
204,0.0,195021868015.0,70806.0,22012.0,0.91
205,0.0,206509168564.0,138493.0,22012.0,0.895
206,0.0,236088422158.0,60278.0,25002.0,0.904
207,0.0,230964445649.0,127867.0,25998.0,0.998
208,0.0,242164532768.0,223847.0,25998.0,1.03
209,0.0,242040923563.0,258210.0,25998.0,1.025
210,0.0,251426106660.0,137631.0,25998.0,1.045
211,0.0,254085769370.0,109491.0,25998.0,1.051
212,0.0,255569803049.0,137336.0,25998.0,1.055
213,0.0,268730612080.0,96622.0,25998.0,1.053
214,0.0,287855565391.0,64360.0,25998.0,1.048
215,0.0,318179639415.0,97614.0,25998.0,1.043
216,0.0,369653118211.0,114283.0,34091.0,0.965
217,0.0,332021764349.0,158511.0,36460.0,0.893
218,0.0,334258878241.0,194114.0,36460.0,0.899
219,0.0,349969205716.0,190976.0,36460.0,0.833
220,0.0,375503030827.0,298803.0,36460.0,0.86
221,0.0,405680961288.0,325391.0,36460.0,0.905
222,0.0,407677921739.0,212194.0,36460.0,0.968
223,0.0,401694929953.0,165205.0,36460.0,0.941
224,0.0,450419694691.0,154188.0,36460.0,0.935
225,0.0,628546516437.0,175315.0,44849.0,0.924
226,0.0,493364980643.0,109279.0,55590.0,0.875
227,0.0,392688410450.0,919800.0,55590.0,0.89
228,0.0,429711433410.0,2265535.0,55590.0,0.93
229,0.0,470752439150.0,211755.0,55590.0,0.926
230,0.0,557080877166.0,273911.0,55590.0,0.906
231,0.0,678939796883.0,116687.0,55590.0,0.91
232,0.0,774434311136.0,165587.0,55590.0,0.905
233,0.0,700929056632.0,181819.0,55590.0,0.878
234,0.0,545090462485.0,163376.0,55590.0,0.878
235,0.0,526519193174.0,209804.0,62672.0,0.858
236,0.0,506239795027.0,304305.0,76193.0,0.899
237,0.0,470073330167.0,219173.0,76193.0,0.885
238,0.0,494819936894.0,140696.0,76193.0,0.899
239,0.0,496400342772.0,183879.0,76193.0,0.8959999999999999
240,0.0,425748489489.0,185576.0,76193.0,0.894
241,0.0,408875459156.0,107236.0,76193.0,0.882
242,0.0,506861502335.0,132686.0,76193.0,0.863
243,0.0,491829426985.0,134072.0,76193.0,0.835
244,0.0,530121862342.0,142237.0,76193.0,0.833
245,0.0,433120819174.0,91819.0,76193.0,0.7709999999999999
246,0.0,475081008003.0,104617.0,76193.0,0.753
247,0.0,551006432759.0,115146.0,76193.0,0.76
248,0.0,514676445531.0,160483.0,76193.0,0.784
249,0.0,524207077313.0,211244.0,76193.0,0.83
250,0.0,611669938075.0,213882.0,76193.0,0.8490000000000001
251,0.0,526946087887.0,249640.0,69603.0,0.875
252,0.0,526920802633.0,277568.0,68978.0,0.8690000000000001
253,0.0,510392484117.0,119690.0,68978.0,0.825
254,0.0,525234989084.0,109689.0,68978.0,0.809
255,0.0,567835821495.0,87607.0,68978.0,0.7959999999999999
256,0.0,532674244536.0,96657.0,68978.0,0.7909999999999999
257,0.0,640171751764.0,108003.0,68978.0,0.787
258,0.0,634887614133.0,60861.0,68978.0,0.775
259,0.0,619844544192.0,73969.0,68978.0,0.778
260,0.0,594132429879.0,63538.0,68978.0,0.78
261,0.0,625188672216.0,104893.0,68978.0,0.7290000000000001
262,0.0,658341033277.0,83943.0,69942.0,0.7
263,0.0,676985270296.0,63985.0,82346.0,0.7440000000000001
264,0.0,618285207322.0,83067.0,82346.0,0.7509999999999999
265,0.0,632295295804.0,96207.0,82346.0,0.752
266,0.0,668694697974.0,104781.0,82346.0,0.74
267,0.0,674134335667.0,63199.0,82346.0,0.743
268,0.0,661726740193.0,65522.0,82346.0,0.753
269,0.0,680234651306.0,113343.0,82346.0,0.8190000000000001
270,0.0,779329482487.0,158633.0,82346.0,0.8909999999999999
271,0.0097,706020612151.0,141384.0,82346.0,0.97
272,0.0,600711356181.0,100576.0,82346.0,0.995
273,0.0,650182258683.0,349567.0,82346.0,1.017
274,0.0,703522371654.0,1404505.0,82346.0,1.08
275,0.0,716859586070.0,147692.0,89442.0,1.15
276,0.0,658576783830.0,3125312.0,92348.0,1.18
277,0.0,694293998753.0,5560180.0,92348.0,1.162
278,0.0,713039066100.0,507729.0,92348.0,1.176
279,0.0,747597165432.0,206572.0,92348.0,1.31
